"time","x","y","position","velocity","acceleration","jerk","heading"
0,3,12.25,0,0,0,0,0
0.02,3.0044,12.25,0.00440121,0.220061,11.003,550.152,-0.00143315
0.04,3.0088,12.25,0.00880243,0.220061,1.09375e-10,-550.152,-0.0028663
0.06,3.01797,12.25,0.0179693,0.458345,11.9142,595.711,-0.00584777
0.08,3.03163,12.25,0.031626,0.682832,11.2243,-34.4939,-0.0102932
0.1,3.04923,12.25,0.0492309,0.880249,9.87087,-67.6731,-0.0160231
0.12,3.07094,12.25,0.0709417,1.08554,10.2645,19.6806,-0.0230907
0.14,3.09653,12.25,0.096532,1.27951,9.69877,-28.2856,-0.0314186
0.16,3.12606,12.25,0.126061,1.47644,9.84608,7.36501,-0.0410293
0.18,3.15953,12.25,0.159528,1.67336,9.84609,0.000604135,-0.0519227
0.2,3.19692,12.25,0.196924,1.86979,9.82186,-1.2116,-0.0640924
0.22,3.2383,12.25,0.238298,2.06869,9.94461,6.13782,-0.0775571
0.24,3.28358,12.2499,0.28358,2.26413,9.77219,-8.62128,-0.0922976
0.26,3.33281,12.2499,0.332811,2.46155,9.87091,4.93639,-0.10832
0.28,3.38598,12.2498,0.385981,2.65848,9.84645,-1.22331,-0.125624
0.3,3.44308,12.2497,0.443079,2.85491,9.8214,-1.2526,-0.144208
0.32,3.50413,12.2496,0.504135,3.05282,9.89556,3.70813,-0.164079
0.34,3.56912,12.2494,0.56912,3.24926,9.82209,-3.67362,-0.185229
0.36,3.63804,12.2492,0.638044,3.44618,9.84613,1.20213,-0.207661
0.38,3.71004,12.249,0.71004,3.59982,7.68205,-108.204,-0.249202
0.4,3.78465,12.2486,0.784651,3.73051,6.53454,-57.3757,-0.319848
0.42,3.86308,12.2483,0.863087,3.9218,9.56419,151.483,-0.394125
0.44,3.94534,12.2477,0.94535,4.11317,9.56842,0.21116,-0.472022
0.46,4.03143,12.2469,1.03144,4.30454,9.56893,0.0254001,-0.553542
0.48,4.12134,12.2461,1.12135,4.49539,9.54228,-1.33237,-0.638684
0.5,4.21507,12.245,1.21508,4.68679,9.57005,1.38873,-0.727448
0.52,4.31262,12.2438,1.31265,4.87819,9.56995,-0.00518627,-0.81984
0.54,4.41193,12.2423,1.41197,4.96621,4.4012,-258.437,-0.958971
0.56,4.51435,12.2404,1.5144,5.12143,7.76087,167.983,-1.11689
0.58,4.62046,12.2383,1.62054,5.30688,9.27249,75.5814,-1.28056
0.6,4.7303,12.2358,1.73041,5.49349,9.33047,2.89898,-1.44997
0.62,4.84386,12.2327,1.84401,5.6799,9.3206,-0.493675,-1.62512
0.64,4.96112,12.2293,1.96132,5.86561,9.28551,-1.75463,-1.80601
0.66,5.07905,12.2254,2.07931,5.89964,1.7016,-379.195,-2.0562
0.68,5.20053,12.2208,2.20088,6.0783,8.93295,361.567,-2.31512
0.7,5.32563,12.2155,2.32609,6.2604,9.10459,8.58222,-2.58177
0.72,5.45431,12.2095,2.45491,6.44121,9.04072,-3.19351,-2.85615
0.74,5.58592,12.2027,2.5867,6.58935,7.40714,-81.6794,-3.15244
0.76,5.7184,12.195,2.7194,6.63525,2.29502,-255.606,-3.51283
0.78,5.85436,12.1863,2.85563,6.81165,8.81981,326.239,-3.88284
0.8,5.99379,12.1764,2.99541,6.98888,8.86137,2.07768,-4.26245
0.82,6.13638,12.1654,3.13843,7.15083,8.0975,-38.1934,-4.65803
0.84,6.27922,12.1532,3.28179,7.1681,0.863479,-361.701,-5.12969
0.86,6.4254,12.1395,3.42861,7.34107,8.64885,389.269,-5.61272
0.88,6.57489,12.1242,3.57889,7.51368,8.63046,-0.919885,-6.10711
0.9,6.72614,12.1075,3.73105,7.60824,4.72784,-195.131,-6.64502
0.92,6.87879,12.0889,3.88484,7.68927,4.05157,-33.8136,-7.23317
0.94,7.03459,12.0684,4.04198,7.85725,8.39915,217.379,-7.83424
0.96,7.19291,12.0458,4.20189,7.9955,6.91219,-74.3481,-8.46095
0.98,7.35199,12.0212,4.36287,8.04908,2.67903,-211.658,-9.14903
1,7.51404,11.9941,4.52716,8.2143,8.261,279.099,-9.8513
1.02,7.67686,11.9649,4.69259,8.27179,2.87454,-269.323,-10.5714
1.04,7.83784,11.9337,4.85656,8.19838,-3.67051,-327.253,-11.3222
1.06,7.99841,11.9005,5.02052,8.19791,-0.0236043,182.345,-12.073
1.08,8.15825,11.8653,5.18421,8.18427,-0.682015,-32.9206,-12.8296
1.1,8.31727,11.8279,5.34755,8.16732,-0.847083,-8.25335,-13.5933
1.12,8.47578,11.7885,5.51089,8.16701,-0.0156218,41.573,-14.3569
1.14,8.63447,11.7467,5.67499,8.20496,1.89765,95.6636,-15.105
1.16,8.79288,11.7028,5.83937,8.21913,0.70844,-59.4606,-15.8471
1.18,8.95089,11.6568,6.00394,8.2285,0.468354,-12.0043,-16.5853
1.2,9.11089,11.608,6.17121,8.36313,6.73128,313.146,-17.2675
1.22,9.2703,11.5574,6.33848,8.36365,0.0262032,-335.254,-17.9498
1.24,9.43119,11.5041,6.50795,8.47349,5.49193,273.286,-18.5862
1.26,9.59387,11.4484,6.67991,8.59797,6.22389,36.5984,-19.1702
1.28,9.75593,11.391,6.85183,8.59591,-0.10289,-316.339,-19.7543
1.3,9.923,11.3302,7.02962,8.8894,14.6747,738.881,-20.2163
1.32,10.0901,11.2678,7.20801,8.91979,1.51909,-657.782,-20.6674
1.34,10.2612,11.2023,7.39121,9.15991,12.0064,524.368,-21.0178
1.36,10.4386,11.1332,7.58156,9.51731,17.8697,293.161,-21.219
1.38,10.6157,11.0635,7.77188,9.51633,-0.048985,-895.932,-21.4201
1.4,10.7926,10.9932,7.96228,9.51966,0.166558,10.7772,-21.6213
1.42,10.9692,10.9223,8.15262,9.5171,-0.128059,-14.7309,-21.8224
1.44,11.1526,10.8481,8.35039,9.88882,18.5863,935.717,-21.8667
1.46,11.3455,10.7704,8.55831,10.396,25.3609,338.731,-21.7031
1.48,11.5385,10.6933,8.76614,10.3914,-0.233242,-1279.71,-21.5395
1.5,11.7318,10.6168,8.97406,10.3958,0.222726,22.7984,-21.376
1.52,11.9252,10.5408,9.18185,10.3897,-0.305923,-26.4325,-21.2124
1.54,12.1241,10.4637,9.39523,10.6691,13.9675,713.671,-20.9341
1.56,12.3298,10.3858,9.61519,10.998,16.449,124.074,-20.518
1.58,12.536,10.3093,9.83513,10.9966,-0.0701885,-825.958,-20.102
1.6,12.7487,10.2325,10.0612,11.3055,15.4422,775.619,-19.5583
1.62,12.9625,10.1576,10.2878,11.3275,1.10042,-717.089,-19.0059
1.64,13.1788,10.0842,10.5162,11.4208,4.66684,178.321,-18.4142
1.66,13.3988,10.0123,10.7476,11.5717,7.54167,143.741,-17.759
1.68,13.6196,9.94292,10.9791,11.5729,0.063869,-373.89,-17.1038
1.7,13.8436,9.87545,11.213,11.6952,6.11208,302.411,-16.3975
1.72,14.069,9.8106,11.4476,11.7294,1.71153,-220.027,-15.6768
1.74,14.2953,9.74862,11.6822,11.7324,0.15059,-78.047,-14.9528
1.76,14.5237,9.68917,11.9182,11.8001,3.38377,161.659,-14.2038
1.78,14.7528,9.63278,12.1542,11.797,-0.153479,-176.862,-13.4549
1.8,14.9825,9.57937,12.39,11.7918,-0.259914,-5.32173,-12.7082
1.82,15.2128,9.52905,12.6257,11.7836,-0.41071,-7.53978,-11.9652
1.84,15.4436,9.48178,12.8613,11.7814,-0.110703,15.0003,-11.2221
1.86,15.6741,9.43754,13.096,11.7353,-2.30483,-109.706,-10.4987
1.88,15.9045,9.39635,13.3301,11.7015,-1.69064,30.7095,-9.79014
1.9,16.1353,9.35807,13.564,11.6999,-0.0802409,80.5199,-9.08162
1.92,16.3649,9.32277,13.7963,11.6121,-4.39036,-215.506,-8.41036
1.94,16.5939,9.29037,14.0276,11.5633,-2.44147,97.4442,-7.75833
1.96,16.8232,9.26052,14.2588,11.5633,0.00332192,122.24,-7.1063
1.98,17.0506,9.23349,14.4878,11.4512,-5.60457,-280.395,-6.50152
2,17.2772,9.20887,14.7158,11.3953,-2.79546,140.455,-5.92154
2.02,17.5039,9.18654,14.9436,11.39,-0.26629,126.458,-5.34156
2.04,17.7286,9.16677,15.1692,11.281,-5.44875,-259.123,-4.80708
2.06,17.9519,9.14897,15.3931,11.196,-4.25256,59.8095,-4.30941
2.08,18.1752,9.13328,15.617,11.1938,-0.105761,207.34,-3.81174
2.1,18.3971,9.11949,15.8393,11.1182,-3.78225,-183.824,-3.34547
2.12,18.6164,9.10751,16.0589,10.9805,-6.88632,-155.204,-2.93685
2.14,18.8358,9.09718,16.2786,10.9817,0.0605638,347.344,-2.52822
2.16,19.055,9.08839,16.498,10.9695,-0.6104,-33.5482,-2.12549
2.18,19.2699,9.08107,16.713,10.75,-10.9764,-518.301,-1.81123
2.2,19.485,9.07494,16.9281,10.7582,0.412615,569.451,-1.49698
2.22,19.6999,9.06999,17.1432,10.7518,-0.319523,-36.6069,-1.18272
2.24,19.9117,9.06627,17.3549,10.5877,-8.20345,-394.196,-0.938446
2.26,20.1219,9.06332,17.5652,10.5135,-3.71128,224.608,-0.724872
2.28,20.3321,9.06111,17.7754,10.5081,-0.27142,171.993,-0.511298
2.3,20.5409,9.05974,17.9842,10.4411,-3.35152,-154.005,-0.327597
2.32,20.7458,9.05882,18.1891,10.2467,-9.71855,-318.352,-0.224844
2.34,20.9507,9.05841,18.394,10.2466,-0.00406821,485.724,-0.122091
2.36,21.1557,9.0582,18.599,10.2466,-0.000731977,0.166812,-0.0193379
2.38,21.364,9.05821,18.8073,10.4167,8.50362,425.217,0.154286
2.4,21.5731,9.05885,19.0164,10.4561,1.97359,-326.501,0.344339
2.42,21.7822,9.06012,19.2256,10.4563,0.00685947,-98.3366,0.534393
2.44,21.9934,9.06215,19.4367,10.5592,5.14749,257.031,0.767233
2.46,22.2161,9.06574,19.6595,11.1366,28.87,1186.13,1.24033
2.48,22.4387,9.07123,19.8821,11.1334,-0.163503,-1451.68,1.71343
2.5,22.6613,9.0785,20.1049,11.1356,0.113991,13.8747,2.18653
2.52,22.8908,9.08809,20.3345,11.4824,17.337,861.149,2.80273
2.54,23.1259,9.10085,20.57,11.7743,14.5961,-137.043,3.54225
2.56,23.3608,9.11668,20.8054,11.7722,-0.104553,-735.033,4.28178
2.58,23.5956,9.13546,21.041,11.7788,0.332054,21.8303,5.02234
2.6,23.8424,9.15907,21.2889,12.3963,30.8739,1527.09,6.0208
2.62,24.0888,9.18701,21.5368,12.3946,-0.0854726,-1547.97,7.01927
2.64,24.3346,9.21918,21.7847,12.3953,0.0359687,6.07206,8.01774
2.66,24.5865,9.25685,22.0394,12.7344,16.953,845.854,9.15743
2.68,24.8426,9.3007,22.2992,12.9913,12.8458,-205.362,10.4027
2.7,25.0975,9.35023,22.559,12.9866,-0.235236,-654.052,11.648
2.72,25.3539,9.40581,22.8214,13.119,6.61853,342.688,12.9472
2.74,25.6165,9.46951,23.0915,13.5065,19.3757,637.86,14.4099
2.76,25.8773,9.53995,23.3617,13.5104,0.194553,-959.059,15.8726
2.78,26.1365,9.61697,23.6321,13.5183,0.394843,10.0145,17.3394
2.8,26.4007,9.70347,23.9101,13.9,19.0842,934.467,18.9642
2.82,26.6624,9.79745,24.1881,13.9024,0.123731,-948.023,20.589
2.84,26.9212,9.89881,24.4661,13.8972,-0.261223,-19.2477,22.2138
2.86,27.1801,10.009,24.7474,14.0695,8.61524,443.823,23.9103
2.88,27.436,10.127,25.0293,14.0908,1.0633,-377.597,25.6158
2.9,27.6884,10.2526,25.3112,14.0947,0.196062,-43.3617,27.3213
2.92,27.9363,10.3854,25.5924,14.0631,-1.58272,-88.939,29.0138
2.94,28.18,10.5254,25.8735,14.0526,-0.523299,52.9709,30.7032
2.96,28.4195,10.6725,26.1545,14.0539,0.0658138,29.4557,32.3926
2.98,28.6513,10.8243,26.4316,13.8511,-10.1422,-510.403,33.9973
3,28.8776,10.9817,26.7073,13.7862,-3.24129,345.047,35.5766
3.02,29.0997,11.1454,26.9831,13.791,0.239555,174.042,37.1558
3.04,29.312,11.3109,27.2523,13.4614,-16.479,-835.927,38.5983
3.06,29.5185,11.48,27.5193,13.3468,-5.73182,537.358,39.9924
3.08,29.7207,11.6542,27.7861,13.3433,-0.173959,277.893,41.3865
3.1,29.913,11.8278,28.0452,12.9553,-19.4025,-961.426,42.6177
3.12,30.0993,12.0029,28.3009,12.7846,-8.53203,543.523,43.7782
3.14,30.282,12.1819,28.5566,12.7839,-0.0353807,424.832,44.9387
3.16,30.4557,12.3587,28.8045,12.3937,-19.5131,-973.888,45.9366
3.18,30.6234,12.5351,29.0479,12.1692,-11.2219,414.563,46.8398
3.2,30.7883,12.714,29.2912,12.1673,-0.0948481,556.351,47.743
3.22,30.9459,12.8905,29.5278,11.8278,-16.9761,-844.061,48.5045
3.24,31.0976,13.0642,29.7585,11.5343,-14.6754,115.032,49.1437
3.26,31.2473,13.2397,29.9891,11.5315,-0.138812,726.831,49.7828
3.28,31.3919,13.4128,30.2147,11.2778,-12.685,-627.311,50.3138
3.3,31.5304,13.5813,30.4327,10.9042,-18.6834,-299.917,50.6906
3.32,31.6678,13.7506,30.6508,10.9035,-0.0322423,932.557,51.0674
3.34,31.802,13.9182,30.8656,10.7377,-8.29114,-412.945,51.3752
3.36,31.9301,14.0791,31.0712,10.2813,-22.8205,-726.467,51.4928
3.38,32.0578,14.2403,31.2769,10.2837,0.121121,1147.08,51.6104
3.4,32.1842,14.4007,31.4811,10.2117,-3.59953,-186.032,51.6999
3.42,32.304,14.5524,31.6744,9.66547,-27.3122,-1185.64,51.5592
3.44,32.4241,14.7037,31.8676,9.65934,-0.306439,1350.29,51.4186
3.46,32.5447,14.8549,32.0609,9.66684,0.375162,34.0801,51.2779
3.48,32.6584,14.996,32.2421,9.06051,-30.3169,-1534.6,50.8881
3.5,32.7727,15.136,32.4229,9.03576,-1.23703,1453.99,50.4865
3.52,32.8879,15.2752,32.6036,9.03595,0.00936874,62.3198,50.0849
3.54,32.9978,15.4054,32.7739,8.5179,-25.9025,-1295.6,49.4663
3.56,33.1074,15.5326,32.9418,8.39566,-6.11226,989.514,48.7989
3.58,33.2187,15.6585,33.1099,8.40141,0.287564,319.991,48.1314
3.6,33.3253,15.7763,33.2688,7.94526,-22.8075,-1154.75,47.2752
3.62,33.4313,15.8894,33.4238,7.75074,-9.72592,654.077,46.3393
3.64,33.5391,16.001,33.5789,7.75767,0.346754,503.634,45.4035
3.66,33.6432,16.1051,33.7262,7.36137,-19.8153,-1008.1,44.3046
3.68,33.7462,16.2037,33.8687,7.12763,-11.6868,406.426,43.1073
3.7,33.851,16.3002,34.0112,7.12348,-0.207439,573.969,41.91
3.72,33.9531,16.3901,34.1472,6.80217,-16.0655,-792.902,40.5769
3.74,34.0537,16.4743,34.2784,6.55995,-12.1109,197.727,39.1438
3.76,34.1564,16.556,34.4097,6.56388,0.196023,615.349,37.7107
3.78,34.2572,16.6322,34.536,6.31641,-12.3732,-628.463,36.1757
3.8,34.3569,16.7031,34.6584,6.11742,-9.94964,121.18,34.5589
3.82,34.4586,16.7711,34.7808,6.11857,0.0577936,500.372,32.9421
3.84,34.5599,16.8349,34.9004,5.98292,-6.78248,-342.014,31.269
3.86,34.6612,16.8944,35.0179,5.87349,-5.47149,65.5495,29.5485
3.88,34.7642,16.9508,35.1353,5.8713,-0.109764,268.086,27.828
3.9,34.8687,17.004,35.2527,5.86695,-0.217686,-5.39606,26.1048
3.92,34.9747,17.0539,35.3698,5.85724,-0.485483,-13.3899,24.3793
3.94,35.0822,17.1007,35.487,5.8597,0.12342,30.4452,22.6538
3.96,35.1929,17.1449,35.6062,5.96216,5.12291,249.975,20.9717
3.98,35.3072,17.1867,35.728,6.08582,6.18287,52.9979,19.3405
4,35.4226,17.2252,35.8496,6.08174,-0.204044,-319.346,17.7094
4.02,35.5418,17.2613,35.9741,6.22686,7.25597,373.001,16.1372
4.04,35.6674,17.2956,36.1043,6.50873,14.0937,341.885,14.6819
4.06,35.7937,17.3268,36.2344,6.50618,-0.127673,-711.067,13.2266
4.08,35.9221,17.3551,36.3659,6.57502,3.44213,178.49,11.7994
4.1,36.0607,17.3822,36.5071,7.05962,24.2302,1039.4,10.5733
4.12,36.1997,17.4064,36.6482,7.05663,-0.149927,-1219.01,9.34718
4.14,36.3393,17.4276,36.7894,7.05654,-0.00413299,7.28969,8.12108
4.16,36.4891,17.4473,36.9404,7.55319,24.8321,1241.81,7.101
4.18,36.6415,17.4647,37.0939,7.67227,5.95413,-943.899,6.13095
4.2,36.7942,17.4795,37.2473,7.66922,-0.152256,-305.319,5.16089
4.22,36.952,17.4922,37.4056,7.91491,12.2843,621.826,4.29101
4.24,37.1178,17.5034,37.5717,8.30871,19.6898,370.279,3.58716
4.26,37.2837,17.5125,37.738,8.31105,0.117433,-978.62,2.88332
4.28,37.4498,17.5195,37.9042,8.30995,-0.0549667,-8.62,2.17948
4.3,37.627,17.5252,38.0815,8.86464,27.7343,1389.46,1.70626
4.32,37.8063,17.5296,38.2608,8.96911,5.22351,-1125.54,1.27544
4.34,37.9856,17.5326,38.4402,8.96754,-0.0787571,-265.114,0.844612
4.36,38.1681,17.5343,38.6226,9.12268,7.75726,391.801,0.48093
4.38,38.3614,17.5353,38.8159,9.66362,27.047,964.489,0.340699
4.4,38.5546,17.5359,39.0092,9.66352,-0.0053109,-1352.62,0.200468
4.42,38.7479,17.536,39.2025,9.66347,-0.00225789,0.15265,0.0602364
4.44,38.9274,17.5369,39.382,8.97715,-34.3162,-1715.7,-0.366028
4.46,39.0966,17.5369,39.5512,8.46027,-25.8441,423.605,-1.00768
4.48,39.2658,17.5351,39.7204,8.46107,0.0401304,1294.21,-1.64932
4.5,39.4351,17.5314,39.8897,8.46314,0.103433,3.16514,-2.29097
4.52,39.6041,17.5258,40.0588,8.45639,-0.337351,-22.0392,-2.93262
4.54,39.7065,17.5211,40.1614,5.12717,-166.461,-8306.17,-4.96402
4.56,39.8012,17.5131,40.2564,4.75227,-18.7451,7385.79,-7.15139
4.58,39.8956,17.5015,40.3514,4.75047,-0.0903183,932.737,-9.33876
4.6,39.9893,17.4864,40.4464,4.74898,-0.074146,0.808617,-11.5261
4.62,40.0424,17.4768,40.5003,2.69598,-102.65,-5128.79,-14.5704
4.64,40.0571,17.4744,40.5152,0.746379,-97.4803,258.481,-18.4296
4.66,40.0716,17.4712,40.5301,0.741792,-0.229349,4862.55,-22.2889
4.68,40.0859,17.4668,40.545,0.747353,0.27803,25.3689,-26.1481
4.7,40.0738,17.4753,40.5598,0.738225,-0.456404,-36.7217,-30.6197
4.72,40.0382,17.4994,40.6028,2.15059,70.6184,3553.74,-35.6823
4.74,40.0048,17.5264,40.6457,2.14739,-0.159924,-3538.92,-40.7448
4.76,39.9739,17.5564,40.6887,2.14875,0.067953,11.3938,-45.8074
4.78,39.9525,17.5789,40.7198,1.55586,-29.6445,-1485.62,-50.622
4.8,39.9353,17.5997,40.7469,1.35194,-10.1963,972.412,-55.3522
4.82,39.9198,17.6219,40.774,1.35359,0.0824288,513.936,-60.0823
4.84,39.9062,17.6453,40.801,1.35413,0.0270448,-2.7692,-64.8125
4.86,39.919,17.6108,40.8379,1.84128,24.3577,1216.53,-68.2135
4.88,39.9316,17.5712,40.8794,2.07717,11.7944,-628.165,-71.5159
4.9,39.9418,17.531,40.9209,2.07419,-0.149137,-597.178,-74.8183
4.92,39.9497,17.4902,40.9625,2.07915,0.248167,19.8652,-78.1206
4.94,39.966,17.3936,41.0605,4.90063,141.074,7041.3,-80.245
4.96,39.9812,17.2842,41.1709,5.52117,31.0267,-5502.37,-82.1118
4.98,39.993,17.1744,41.2813,5.51928,-0.0941139,-1556.04,-83.9787
5,40.001,17.0644,41.3916,5.51757,-0.0858568,0.412854,-85.8455
